msa_code,msa_title,state,min_long,min_lat,max_long,max_lat,center_long,center_lat,radius
C4150,"Salinas, CA MSA",California,-122.051878,35.788977,-120.213979,36.919683,-121.13292849999999,36.354330000000004,85018
C3490,"Napa, CA MSA",California,-122.646421,38.154933,-122.061379,38.864245,-122.35390000000001,38.509589,45936
C4602,"Truckee-Grass Valley, CA MicroSA",California,-121.279784,39.00516,-120.003773,39.52692,-120.6417785,39.26604,59026
C4014,"Riverside-San Bernardino-Ontario, CA MSA",California,-117.802539,33.425888,-114.131211,35.809236,-115.96687499999999,34.617562,169831
C4194,"San Jose-Sunnyvale-Santa Clara, CA MSA",California,-122.202653,36.196848,-120.596562,37.484637,-121.3996075,36.840742500000005,83400
C4174,"San Diego-Carlsbad, CA MSA",California,-117.611081,32.528832,-116.08094,33.505025,-116.8460105,33.016928500000006,70782
C4470,"Stockton-Lodi, CA MSA",California,-121.585078,37.481783,-120.917007,38.300252,-121.2510425,37.891017500000004,53005
C4202,"San Luis Obispo-Paso Robles-Arroyo Grande, CA MSA",California,-121.438176,34.897475,-119.472489,35.796655,-120.4553325,35.347065,90930
C4220,"Santa Maria-Santa Barbara, CA MSA",California,-120.734382,33.411024,-118.962728,35.114678,-119.848555,34.262851,110332
C4210,"Santa Cruz-Watsonville, CA MSA",California,-122.317682,36.8196,-121.581154,37.286055,-121.94941800000001,37.0528275,34070
C3982,"Redding, CA MSA",California,-123.068838,40.285375,-121.319976,41.184978,-122.194407,40.7351765,80900
C4670,"Vallejo-Fairfield, CA MSA",California,-122.40697,38.031721,-121.593273,38.53905,-122.0001215,38.285385500000004,37640
C4222,"Santa Rosa, CA MSA",California,-123.632497,38.07326,-122.347454,38.852916,-122.9899755,38.463088,59444
C3370,"Modesto, CA MSA",California,-121.486775,37.134774,-120.387329,38.077421,-120.937052,37.606097500000004,61047
C4970,"Yuba City, CA MSA",California,-121.948294,38.734598,-121.009477,39.639459,-121.4788855,39.1870285,58600
C3978,"Red Bluff, CA MicroSA",California,-123.066009,39.797385,-121.342264,40.453133,-122.2041365,40.125259,79738
C4730,"Visalia-Porterville, CA MSA",California,-119.573194,35.788935,-117.980761,36.744816,-118.7769775,36.2668755,73663
C4376,"Sonora, CA MicroSA",California,-120.653274,37.633704,-119.196182,38.433521,-119.92472799999999,38.033612500000004,67403
C3710,"Oxnard-Thousand Oaks-Ventura, CA MSA",California,-119.636302,33.163493,-118.632494,34.901171,-119.134398,34.032332,112535
C1974,"Denver-Aurora-Lakewood, CO MSA",Colorado,-106.210173,38.693089,-103.705695,40.044144,-104.957934,39.3686165,115854
C1450,"Boulder, CO MSA",Colorado,-105.694362,39.912886,-105.052774,40.262785,-105.373568,40.0878355,29679
C2078,"Edwards, CO MicroSA",Colorado,-107.113947,39.349469,-106.17592,39.925292,-106.64493350000001,39.6373805,43391
C1782,"Colorado Springs, CO MSA",Colorado,-105.330382,38.51944,-104.051568,39.13004,-104.69097500000001,38.824740000000006,59156
C1586,"Canon City, CO MicroSA",Colorado,-106.012789,38.257548,-104.940366,38.697581,-105.47657749999999,38.4775645,49608
C2406,"Glenwood Springs, CO MicroSA",Colorado,-109.051459,38.97772,-106.426487,40.091538,-107.73897299999999,39.534628999999995,121427
C2042,"Durango, CO MicroSA",Colorado,-108.381069,36.999606,-107.481424,37.64033,-107.9312465,37.319968,41616
C2266,"Fort Collins, CO MSA",Colorado,-106.195438,40.257784,-104.943052,40.99844,-105.569245,40.628112,57933
C4454,"Sterling, CO MicroSA",Colorado,-103.581848,40.435294,-102.65088,41.002558,-103.116364,40.718925999999996,43065
C2430,"Grand Junction, CO MSA",Colorado,-109.060152,38.499983,-107.377479,39.366711,-108.2188155,38.933347,77838
C1878,"Craig, CO MicroSA",Colorado,-109.051245,40.219991,-107.313365,41.003073,-108.182305,40.611532,80392
C3394,"Montrose, CO MicroSA",Colorado,-109.060204,38.152228,-107.50002,38.668568,-108.280112,38.410398,72172
C2282,"Fort Morgan, CO MicroSA",Colorado,-104.150538,40.000836,-103.464455,40.524419,-103.8074965,40.2626275,33908
C3938,"Pueblo, CO MSA",Colorado,-105.050678,37.734704,-104.053921,38.522435,-104.5522995,38.1285695,51015
C4446,"Steamboat Springs, CO MicroSA",Colorado,-107.442594,39.918671,-106.626112,41.003444,-107.03435300000001,40.4610575,70252
C1472,"Breckenridge, CO MicroSA",Colorado,-106.440301,39.357378,-105.775702,39.924914,-106.1080015,39.641146,36754
C2454,"Greeley, CO MSA",Colorado,-105.05672,40.000251,-103.573216,41.001905,-104.314968,40.501078,68625
C1486,"Bridgeport-Stamford-Norwalk, CT MSA",Connecticut,-73.727775,40.950943,-72.999547,41.666723,-73.36366100000001,41.308833,46355
C2554,"Hartford-West Hartford-East Hartford, CT MSA",Connecticut,-73.029537,41.177774,-72.099229,42.038785,-72.56438299999999,41.608279499999995,55761
C4586,"Torrington, CT MicroSA",Connecticut,-73.51808,41.467415,-72.88706,42.050511,-73.20257000000001,41.758963,37762
C3530,"New Haven-Milford, CT MSA",Connecticut,-73.327114,41.087108,-72.527901,41.644311,-72.92750749999999,41.3657095,36970
C3598,"Norwich-New London, CT MSA",Connecticut,-72.46673,41.215004,-71.787658,41.714414,-72.127194,41.464709,32342
C4934,"Worcester, MA-CT MSA",Connecticut,-72.315879,41.634328,-71.478027,42.721615,-71.896953,42.1779715,70415
C2010,"Dover, DE MSA",Delaware,-75.760074,38.829851,-75.138461,39.387555,-75.4492675,39.108703,36118
C3798,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Delaware,-76.233279,39.290281,-74.389708,40.60858,-75.3114935,39.949430500000005,85376
